[18:57:50] Blueprint Dumper starting... output: C:\Users\whunt\AppData\Local\Owlcat Games\Warhammer 40000 Rogue Trader\BlueprintDumps\2026-01-18-185750-manual
[18:57:50] Loaded DLL: C:\Users\whunt\AppData\LocalLow\Owlcat Games\Warhammer 40000 Rogue Trader\UnityModManager\BlueprintDumper\BlueprintDumper.dll.63817.cache (LastWriteUtc: 2026-01-19 02:57:04Z)
[18:57:50] Attempting to load all blueprints from database...
[18:57:50] Attempting to access blueprint database for complete enumeration...
[18:57:50] Retrieved 157016 GUIDs from Pack File.
[18:57:51] Successfully extracted 5448 entries from cache.
[18:57:51] Verified 4955 are actually loaded blueprints (out of 5448 cache entries).
[18:57:51] Will force-load remaining...
[18:57:51] Loaded 5021/157016 unique blueprints (0 failed)
[18:57:52] Loaded 5339/157016 unique blueprints (0 failed)
[18:57:53] Loaded 6247/157016 unique blueprints (0 failed)
[18:57:54] Loaded 7082/157016 unique blueprints (0 failed)
[18:57:54] Loaded 7970/157016 unique blueprints (0 failed)
[18:57:55] Loaded 8842/157016 unique blueprints (0 failed)
[18:57:56] Loaded 9737/157016 unique blueprints (0 failed)
[18:57:56] Loaded 10468/157016 unique blueprints (0 failed)
[18:57:57] Loaded 11336/157016 unique blueprints (0 failed)
[18:57:58] Loaded 12233/157016 unique blueprints (0 failed)
[18:57:58] Loaded 13128/157016 unique blueprints (0 failed)
[18:57:59] Loaded 14037/157016 unique blueprints (0 failed)
[18:58:00] Loaded 14973/157016 unique blueprints (0 failed)
[18:58:00] Loaded 15962/157016 unique blueprints (0 failed)
[18:58:01] Loaded 16847/157016 unique blueprints (0 failed)
[18:58:01] Loaded 17735/157016 unique blueprints (0 failed)
[18:58:02] Loaded 18655/157016 unique blueprints (0 failed)
[18:58:03] Loaded 19613/157016 unique blueprints (0 failed)
[18:58:03] Loaded 20572/157016 unique blueprints (0 failed)
[18:58:04] Loaded 21571/157016 unique blueprints (0 failed)
[18:58:06] Loaded 22469/157016 unique blueprints (1 failed)
[18:58:07] Loaded 23465/157016 unique blueprints (1 failed)
[18:58:07] Loaded 24461/157016 unique blueprints (1 failed)
[18:58:08] Loaded 25431/157016 unique blueprints (1 failed)
[18:58:09] Loaded 26420/157016 unique blueprints (1 failed)
[18:58:10] Loaded 27381/157016 unique blueprints (2 failed)
[18:58:11] Loaded 28240/157016 unique blueprints (2 failed)
[18:58:11] Loaded 29240/157016 unique blueprints (2 failed)
[18:58:12] Loaded 30240/157016 unique blueprints (2 failed)
[18:58:13] Loaded 31240/157016 unique blueprints (2 failed)
[18:58:13] Loaded 32240/157016 unique blueprints (2 failed)
[18:58:14] Loaded 33240/157016 unique blueprints (2 failed)
[18:58:14] Loaded 34240/157016 unique blueprints (2 failed)
[18:58:15] Loaded 35240/157016 unique blueprints (2 failed)
[18:58:15] Loaded 36240/157016 unique blueprints (2 failed)
[18:58:16] Loaded 37240/157016 unique blueprints (2 failed)
[18:58:17] Loaded 38240/157016 unique blueprints (2 failed)
[18:58:17] Loaded 39240/157016 unique blueprints (2 failed)
[18:58:18] Loaded 40240/157016 unique blueprints (2 failed)
[18:58:18] Loaded 41240/157016 unique blueprints (2 failed)
[18:58:19] Loaded 42240/157016 unique blueprints (2 failed)
[18:58:19] Loaded 43240/157016 unique blueprints (2 failed)
[18:58:20] Loaded 44240/157016 unique blueprints (2 failed)
[18:58:21] Loaded 45240/157016 unique blueprints (2 failed)
[18:58:21] Loaded 46240/157016 unique blueprints (2 failed)
[18:58:22] Loaded 47240/157016 unique blueprints (2 failed)
[18:58:22] Loaded 48240/157016 unique blueprints (2 failed)
[18:58:23] Loaded 49240/157016 unique blueprints (2 failed)
[18:58:23] Loaded 50240/157016 unique blueprints (2 failed)
[18:58:24] Loaded 51240/157016 unique blueprints (2 failed)
[18:58:25] Loaded 52240/157016 unique blueprints (2 failed)
[18:58:25] Loaded 53240/157016 unique blueprints (2 failed)
[18:58:26] Loaded 54240/157016 unique blueprints (2 failed)
[18:58:26] Loaded 55208/157016 unique blueprints (2 failed)
[18:58:27] Loaded 56208/157016 unique blueprints (2 failed)
[18:58:27] Loaded 57208/157016 unique blueprints (2 failed)
[18:58:28] Loaded 58208/157016 unique blueprints (2 failed)
[18:58:29] Loaded 59208/157016 unique blueprints (2 failed)
[18:58:29] Loaded 60208/157016 unique blueprints (2 failed)
[18:58:30] Loaded 61208/157016 unique blueprints (2 failed)
[18:58:30] Loaded 62208/157016 unique blueprints (2 failed)
[18:58:31] Loaded 63208/157016 unique blueprints (2 failed)
[18:58:32] Loaded 64208/157016 unique blueprints (2 failed)
[18:58:32] Loaded 65208/157016 unique blueprints (2 failed)
[18:58:33] Loaded 66208/157016 unique blueprints (2 failed)
[18:58:33] Loaded 67208/157016 unique blueprints (2 failed)
[18:58:34] Loaded 68208/157016 unique blueprints (2 failed)
[18:58:34] Loaded 69208/157016 unique blueprints (2 failed)
[18:58:35] Loaded 70208/157016 unique blueprints (2 failed)
[18:58:36] Loaded 71208/157016 unique blueprints (2 failed)
[18:58:36] Loaded 72208/157016 unique blueprints (2 failed)
